,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,system_attrs_fixed_params,state
82,82,844.0,2023-01-29 08:27:11.817274,2023-01-29 08:34:09.979885,0 days 00:06:58.162611,tanh,8,0.0005106395361542669,0.04001938637249206,0.00016801244780837934,4.141563972514441,small,0.959980613627508,256,,COMPLETE
83,83,1188.0,2023-01-29 08:34:09.980502,2023-01-29 08:41:05.365950,0 days 00:06:55.385448,tanh,8,0.0003259354802354418,0.060826137246005656,0.00013038419011988115,4.512018052188801,small,0.9391738627539944,256,,COMPLETE
84,84,364.0,2023-01-29 08:41:05.366736,2023-01-29 08:47:55.661396,0 days 00:06:50.294660,tanh,8,0.00033307642802875325,0.0267013434896761,0.00012592883636503092,4.746830743631474,small,0.9732986565103239,256,,COMPLETE
85,85,503.0,2023-01-29 08:47:55.662049,2023-01-29 08:54:44.020029,0 days 00:06:48.357980,tanh,7,0.000185268615950159,0.0593706580523352,0.000190174155134213,3.7571112602217642,small,0.9406293419476648,128,,COMPLETE
86,86,140.0,2023-01-29 08:54:44.020681,2023-01-29 09:01:36.208837,0 days 00:06:52.188156,tanh,8,0.00044203553241612943,0.01914365825910804,9.725020365671024e-05,4.359817049062119,small,0.980856341740892,256,,COMPLETE
87,87,228.0,2023-01-29 09:01:36.209500,2023-01-29 09:08:25.356671,0 days 00:06:49.147171,tanh,8,0.00034228500330749003,0.042832845995471415,0.0004668287134079678,4.562221065042445,small,0.9571671540045286,256,,COMPLETE
88,88,121.0,2023-01-29 09:08:25.357331,2023-01-29 09:15:16.274639,0 days 00:06:50.917308,tanh,8,0.00021224133965450057,0.010442447917873457,0.00029403497829515673,4.166838990382574,small,0.9895575520821266,256,,COMPLETE
89,89,496.0,2023-01-29 09:15:16.275295,2023-01-29 09:22:12.144024,0 days 00:06:55.868729,relu,7,0.000728048423910102,0.08378291345659496,0.00014442051275753088,1.9284297672344046,small,0.9162170865434051,128,,COMPLETE
90,90,140.0,2023-01-29 09:22:12.144650,2023-01-29 09:29:10.670596,0 days 00:06:58.525946,tanh,9,0.00010434679296027973,0.0631412219466078,5.704494982307734e-05,4.96864836238784,small,0.9368587780533922,512,,COMPLETE
91,91,832.0,2023-01-29 09:29:10.671305,2023-01-29 09:36:03.489610,0 days 00:06:52.818305,tanh,10,0.0005767115815913502,0.08933148947563385,0.00019647451864717653,3.6903332582226325,small,0.9106685105243661,1024,,COMPLETE
92,92,673.0,2023-01-29 09:36:03.490345,2023-01-29 09:42:56.908175,0 days 00:06:53.417830,tanh,9,0.0008973512031521687,0.0066303811296115275,0.00030174459336564644,1.7010322549531376,small,0.9933696188703884,512,,COMPLETE
93,93,818.0,2023-01-29 09:42:56.908802,2023-01-29 09:49:48.433313,0 days 00:06:51.524511,tanh,10,0.00029175655827131265,0.09998592841960305,0.00012814113732588042,4.107222130978325,small,0.9000140715803969,1024,,COMPLETE
94,94,140.0,2023-01-29 09:49:48.434113,2023-01-29 09:56:43.595566,0 days 00:06:55.161453,tanh,6,0.00046375398505502883,0.0711890815881215,0.0006450624334349361,4.630445035382017,small,0.9288109184118785,64,,COMPLETE
95,95,475.0,2023-01-29 09:56:43.596181,2023-01-29 10:03:40.013300,0 days 00:06:56.417119,tanh,9,0.00015243683388420733,0.04564929869829756,0.00043755365352151916,4.977499799229361,small,0.9543507013017024,512,,COMPLETE
96,96,559.0,2023-01-29 10:03:40.013984,2023-01-29 10:10:34.607314,0 days 00:06:54.593330,tanh,8,0.0007047107883658997,0.034724237353301594,0.0012122653357165612,3.33686745292361,small,0.9652757626466985,256,,COMPLETE
97,97,891.0,2023-01-29 10:10:34.607999,2023-01-29 10:17:28.083087,0 days 00:06:53.475088,relu,10,0.00037243073098630196,0.06441755004966593,0.0008095243885484863,3.9612497471985892,small,0.935582449950334,1024,,COMPLETE
98,98,140.0,2023-01-29 10:17:28.083808,2023-01-29 10:24:28.120004,0 days 00:07:00.036196,tanh,9,0.0009084041753209406,0.0040841689104159015,8.232529617639241e-05,3.0500422151760094,small,0.9959158310895841,512,,COMPLETE
99,99,607.0,2023-01-29 10:24:28.120791,2023-01-29 10:31:22.123119,0 days 00:06:54.002328,relu,7,0.0017167924644825902,0.022824424345339378,0.0002402078473840828,4.410346409137931,small,0.9771755756546606,128,,COMPLETE
